"","Date","Infl_f","BOT_f","Yield_f","FER_f","Int_f","PrimeRate_f","GDPG_f","CA_f","FDI_f","Exchange","Country"
"1",1971-02-01,6.58,-117.3,NA,4532,NA,8.5,-15420.6808738051,-41035826.7754392,1031419176.65415,358.02,"japan"
"2",1971-03-01,6.25,29.17,NA,4868,NA,8.5,-15042.0232205979,-40336365.7567424,1021390961.99797,357.545,"japan"
"3",1971-04-01,5.26,151.53,NA,5458,NA,8.5,-14669.6090122586,-39644896.4779355,1011427953.76162,357.5187,"japan"
"4",1971-05-01,5.83,86,NA,5777,NA,8.5,-14303.3863969353,-38961373.031611,1001529939.27844,357.5032,"japan"
"5",1971-06-01,6.46,89.1,NA,6916,NA,8.5,-13943.3035227761,-38285749.5103616,991696705.881777,357.413,"japan"
"6",1971-07-01,7.08,125.65,NA,7599,NA,8.5,-13589.3085379292,-37617980.0067799,981928040.904952,357.4118,"japan"
"7",1971-08-01,6.77,176.86,NA,7927,NA,8.5,-13241.3495905428,-36958018.6134583,972223731.6813,357.4043,"japan"
"8",1971-09-01,7.1,209.45,NA,12514,NA,8.5,-12899.3748287649,-36305819.4229896,962583565.544156,355.78,"japan"
"9",1971-10-01,7.9,204.04,NA,13384,NA,8.2,-12563.3324007438,-35661336.5279663,953007329.826853,338.021,"japan"
"10",1971-11-01,6.59,140.14,NA,14098,NA,8.2,-12233.1704546276,-35024524.020981,943494811.862724,331.1105,"japan"
"11",1971-12-01,5.69,113.75,NA,14836,NA,8.2,-11908.8371385645,-34395335.9946263,934045798.985101,328.752,"japan"
"12",1972-01-01,4.75,274.39,NA,15235,NA,8.2,-11590.2806007025,-33773726.5414948,924660078.527321,320.0727,"japan"
"13",1972-02-01,4.12,-29.99,NA,15957,NA,8.2,-11277.4489891899,-33159649.7541791,915337437.822713,312.72,"japan"
"14",1972-03-01,4.41,92.77,NA,16478,NA,8.2,-10970.2904521747,-32553059.7252717,906077664.204614,305.187,"japan"
"15",1972-04-01,5.29,165.81,NA,16663,NA,8.2,-10668.7531378052,-31953910.5473654,896880545.006355,302.5365,"japan"
"16",1972-05-01,5.22,119.27,NA,16535,NA,8,-10372.7851942295,-31362156.3130526,887745867.56127,303.5605,"japan"
"17",1972-06-01,4.91,49.47,NA,16034,NA,8,-10082.3347695957,-30777751.1149259,878673419.202692,304.3795,"japan"
"18",1972-07-01,4.6,153.67,NA,15845,NA,8,-9797.35001205197,-30200649.045578,869662987.263955,302.4145,"japan"
"19",1972-08-01,4.9,208.55,NA,15884,NA,8,-9517.77906974648,-29630804.1976014,860714359.078393,301.0305,"japan"
"20",1972-09-01,5.76,117.39,NA,16372,NA,7.7,-9243.57009082736,-29068170.6635888,851827321.979338,301.1609,"japan"
"21",1972-10-01,3.94,181.13,NA,16489,NA,7.7,-8974.67122344276,-28512702.5361327,843001663.300123,301.119,"japan"
"22",1972-11-01,4.21,105.44,NA,17796,4.25,7.7,-8711.03061574083,-27964353.9078257,834237170.374083,301.011,"japan"
"23",1972-12-01,5.1,115,NA,18412,4.25,7.7,-8452.59641586973,-27423078.8712604,825533630.53455,300.9885,"japan"
"24",1973-01-01,5.67,298.52,NA,18365,4.25,7.7,-8199.31677197759,-26888831.5190294,816890831.114857,301.2405,"japan"
"25",1973-02-01,6.5,-112.66,NA,17856,4.25,7.7,-7951.13983221256,-26361565.9437254,808308559.448339,301.7882,"japan"
"26",1973-03-01,7.04,118.53,NA,19067,4.25,7.7,-7708.0137447228,-25841236.2379408,799786602.868328,278.4206,"japan"
"27",1973-04-01,8.66,57.15,NA,18125,4.25,7.7,-7469.88665765645,-25327796.4942683,791324748.708158,261.9014,"japan"
"28",1973-05-01,9.09,3.95,NA,16834,5,7.7,-7236.70671916166,-24821200.8053004,782922784.301162,265.4914,"japan"
"29",1973-06-01,11.02,-108.55,NA,15869,5,8,-7008.42207738658,-24321403.2636299,774580496.980674,264.6505,"japan"
"30",1973-07-01,10.99,-95.7,NA,15200,5.5,8,-6784.98088047936,-23828357.9618492,766297674.080026,264.4981,"japan"
"31",1973-08-01,11.81,10.56,NA,15158,6,8,-6566.33127658813,-23342018.9925509,758074102.932552,264.5538,"japan"
"32",1973-09-01,11.72,-122.21,NA,15126,6,8.3,-6352.42141386107,-22862340.4483277,749909570.871586,265.22,"japan"
"33",1973-10-01,14.36,20.44,NA,14795,7,8.3,-6143.1994404463,-22389276.4217721,741803865.23046,265.4747,"japan"
"34",1973-11-01,14.29,-115.75,NA,14049,7,8.6,-5938.61350449198,-21922781.0054768,733756773.342508,266.3348,"japan"
"35",1973-12-01,15.09,-41.66,NA,13196,7,8.6,-5738.61175414625,-21462808.2920342,725768082.541065,278.2625,"japan"
"36",1974-01-01,18.23,12.98,NA,12246,7,8.6,-5543.14233755728,-21009312.3740371,717837580.159461,280.1775,"japan"
"37",1974-02-01,22.02,-370.18,NA,11566,9,9.4,-5352.15340287319,-20562247.344078,709965053.531032,298.1336,"japan"
"38",1974-03-01,25,-389.21,NA,11900,9,9.4,-5165.59309824215,-20121567.2947495,702150289.98911,291.0872,"japan"
"39",1974-04-01,22.62,-296.58,NA,12426,9,9.4,-4983.40957181229,-19687226.3186442,694393076.867028,282.1648,"japan"
"40",1974-05-01,23.74,-297.62,NA,12713,9,9.4,-4805.55097173178,-19259178.5083547,686693201.498121,277.7741,"japan"
"41",1974-06-01,22.08,-368.34,NA,13167,9,9.4,-4631.96544614874,-18837377.9564735,679050451.215722,278.9664,"japan"
"42",1974-07-01,22.28,-187.41,NA,13429,9,9.4,-4462.60114321135,-18421778.7555934,671464613.353163,282.97,"japan"
"43",1974-08-01,23.83,-124.71,NA,13204,9,9.4,-4297.40621106773,-18012334.9983067,663935475.243778,290.98,"japan"
"44",1974-09-01,24.15,-40.24,NA,12903,9,9.4,-4136.32879786605,-17609000.7772063,656462824.2209,302.2836,"japan"
"45",1974-10-01,22.27,8.21,NA,13169,9,9.4,-3979.31705175444,-17211730.1848846,649046447.617864,299.084,"japan"
"46",1974-11-01,24.53,27.84,NA,13451,9,9.9,-3826.31912088106,-16820477.3139342,641686132.768001,299.3645,"japan"
"47",1974-12-01,24.59,-9.69,NA,13738,9,9.9,-3677.28315339405,-16435196.2569478,634381667.004646,300.075,"japan"
"48",1975-01-01,21.09,179.44,NA,13518,9,9.9,-3532.15729744157,-16055841.1065178,627132837.661131,300.4114,"japan"
"49",1975-02-01,17.39,-364.59,NA,13509,9,9.9,-3390.88970117176,-15682365.955237,619939432.070791,299.6845,"japan"
"50",1975-03-01,13.89,-20.41,NA,13968,9,9.9,-3253.42851273276,-15314724.895698,612801237.566958,291.6583,"japan"
"51",1975-04-01,14.47,0.83,NA,14152,9,9.9,-3119.72188027274,-14952872.0204932,605718041.482965,287.9486,"japan"
"52",1975-05-01,13.27,31.89,NA,14335,9,9.9,-2989.71795193983,-14596761.4222153,598689631.152147,292.1968,"japan"
"53",1975-06-01,13.41,-202.45,NA,14557,8.5,9.9,-2863.36487588218,-14246347.1934569,591715793.907836,291.4305,"japan"
"54",1975-07-01,12.96,-15.66,NA,14604,8.5,9.9,-2740.61080024794,-13901583.4268106,584796317.083366,293.4662,"japan"
"55",1975-08-01,11.11,-48.92,NA,14635,8.5,9.9,-2621.40387318527,-13562424.2148689,577930988.01207,296.3741,"japan"
"56",1975-09-01,9.63,-26.96,NA,14090,8.5,9.7,-2505.6922428423,-13228823.6502246,571119594.027281,297.9762,"japan"
"57",1975-10-01,10.47,-45.2,NA,13269,7.5,9.7,-2393.42405736719,-12900735.8254701,564361922.462333,299.909,"japan"
"58",1975-11-01,9.66,-82.21,NA,13192,7.5,9.7,-2284.54746490808,-12578114.833198,557657760.65056,302.3364,"japan"
